timestamp,Pitch,Roll,Yaw,accl_x,accl_y,accl_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,quat_w,quat_x,quat_y,quat_z
0,0.5337964,4.270004,174.87039,-0.12861422,0.62632126,9.625727,-0.024129178,-0.01450805,0.028710665,-0.29275444,-0.10886873,-0.9499697,-0.044891182,0.0029832558,-0.037424773,-0.9982862
99,0.5337964,4.270004,174.87039,-0.12861422,0.62632126,9.625727,-0.024129178,-0.01450805,0.028710665,-0.29275444,-0.10886873,-0.9499697,-0.044891182,0.0029832558,-0.037424773,-0.9982862
206,0.29031214,3.549114,175.21748,-0.08135597,0.634098,9.636495,-0.023823744,-0.019547688,0.02733622,-0.29541898,-0.082429,-0.9518052,-0.04178147,0.0012379934,-0.031045498,-0.9986436
312,0.51595503,3.8794544,175.18936,-0.12502497,0.61854464,9.629914,-0.024129178,-0.016798794,0.027488936,-0.2883471,-0.09706651,-0.9525933,-0.042096253,0.0030754565,-0.034006853,-0.9985299
419,0.57141435,4.053012,175.1903,-0.1381855,0.61495537,9.587442,-0.02657264,-0.017867807,0.030543262,-0.28848103,-0.098698005,-0.9523851,-0.042109553,0.0034952338,-0.035539348,-0.9984746
526,0.798723,4.6036625,175.03864,-2.1122642,3.7040892,8.19123,-0.02397646,-0.020158552,0.031001411,-0.28115195,-0.11168306,-0.9531424,-0.043526273,0.005219619,-0.040426556,-0.9982204
632,-3.3664231,5.045452,154.2024,-4.6504507,10.062417,11.270792,1.156826,-1.8745927,-5.004208,-0.27405998,-0.18630923,-0.9434935,-0.22165692,-0.038425762,-0.03633579,-0.97368956
739,-12.982843,16.995993,168.88174,-3.266801,-1.0576276,10.214959,2.3970351,-0.7797695,1.2061534,-0.43651575,0.078432344,-0.89627135,-0.07856709,-0.12551095,-0.13530517,-0.97967684
846,-17.649284,39.904076,170.48294,-2.9593232,-5.7427745,8.400602,5.003444,0.059406642,0.09865474,-0.47590274,0.3978984,-0.78434265,-0.024885824,-0.1716783,-0.32406923,-0.9299927
952,-25.029797,58.314754,175.6026,-0.8943174,-8.803194,8.5423765,4.1317396,-0.29168814,2.4233024,-0.3971378,0.6974233,-0.59655875,0.07278986,-0.20734356,-0.4680237,-0.855958
1059,-41.550686,68.967896,-170.11029,0.5521438,-9.855437,1.4985051,1.5294538,0.49098295,3.9351938,-0.106531166,0.93310237,-0.34346914,0.26650852,-0.24566014,-0.5525935,-0.7505096
1166,-58.62229,48.309357,-131.40822,3.2847471,-7.037291,1.6360924,0.47510046,2.0134118,2.7304149,0.36580765,0.9211365,-0.13301235,0.50994337,-0.26031652,-0.5090008,-0.6427373
1272,-57.693806,36.039574,-112.11813,3.691527,-7.257431,-0.55692947,1.052979,2.1058052,1.6212363,0.51448107,0.8574559,0.008868747,0.5888866,-0.2293444,-0.48096013,-0.6076932
1379,-39.058968,-12.396058,-67.32381,4.922036,-4.843073,-5.642276,-2.4550672,3.4596353,1.7851009,0.7599196,0.6207972,0.19269939,0.7598483,-0.268904,-0.2202111,-0.549389
1486,-25.723005,-26.48214,-62.46593,6.1477594,-5.349155,-6.483951,-1.4908167,0.58291817,1.1371257,0.8059078,0.5348131,0.2539441,0.7850149,-0.30328938,-0.06948713,-0.5356666
1592,-14.655377,-39.384094,-58.341873,6.2075796,-5.0662036,-6.02752,-1.4123204,0.9068295,1.0552697,0.8531282,0.44374147,0.27434608,0.7944419,-0.35035557,0.058046427,-0.4926903
1699,-0.33652103,-55.971504,-53.93312,6.55095,-5.0871406,-6.25424,-2.4886649,0.64568454,1.6102408,0.9211021,0.25662205,0.29277292,0.7864216,-0.419405,0.21047965,-0.40167
1806,17.755022,-76.28018,-43.01975,7.63789,-4.3800616,-3.1980073,-3.3403637,-0.39202276,3.345098,0.9718477,-0.011632901,0.23532243,0.7579065,-0.52318746,0.33665442,-0.19625601
1912,35.997852,-96.16835,-45.935856,6.8165536,-3.050849,-3.3846474,-3.169169,0.7498371,3.9605448,0.9036958,-0.2628797,0.3379765,0.6747019,-0.57105666,0.4662188,-0.036215767
2019,45.003906,-108.03433,-51.6105,7.37767,-3.2285159,-3.258426,-4.04515,1.1768318,5.003444,0.8343966,-0.3793378,0.39985648,0.6234938,-0.57515097,0.5278725,0.042514514
2126,84.11595,112.69353,174.31035,6.481558,3.7166517,-0.54675996,1.8432859,0.09987646,3.7400224,0.39658362,-0.84845316,0.3504977,0.577348,-0.34009412,0.63569754,0.38326746
2232,61.920174,112.4163,159.40552,4.2574296,12.516854,0.5694918,2.0002782,0.5859725,3.5219436,0.101209454,-0.99171364,0.0791245,0.50590175,-0.15412088,0.7523256,0.39283124
2339,46.687607,116.07265,150.97119,0.9002995,15.6059885,1.457229,0.728915,0.7473936,2.4300218,-0.19194236,-0.9681825,-0.16056383,0.44725612,-0.007851221,0.8066505,0.38628387
2446,39.53706,118.9944,151.986,-2.879762,11.267801,2.9563322,0.030848695,1.0537425,1.3878858,-0.27941298,-0.919045,-0.27800137,0.3983627,0.029683137,0.8282703,0.3929305
2552,36.444958,128.00977,160.50638,-0.39182466,8.817552,3.205784,-0.07925977,0.23900104,-0.24297166,-0.23007062,-0.8889121,-0.39610958,0.34749398,0.0094563505,0.86463416,0.36272067
2659,33.460613,134.00223,165.55986,-0.32901308,9.6891365,2.4687946,0.91446525,1.2852604,0.06872234,-0.18815826,-0.8792335,-0.4376585,0.30991068,-0.00078807364,0.8886932,0.33790395
2766,30.720322,124.55336,158.3389,-0.60717875,10.345368,2.8342984,0.38163808,-0.019547688,0.27305678,-0.22521457,-0.87390476,-0.430777,0.3145927,0.039362382,0.86153466,0.3965351
2872,30.720322,124.55336,158.3389,-0.60717875,10.345368,2.8342984,0.38163808,-0.019547688,0.27305678,-0.22521457,-0.87390476,-0.430777,0.3145927,0.039362382,0.86153466,0.3965351
2979,30.086294,123.17271,158.4408,-1.0019945,9.626924,3.1902308,-0.36193764,-0.098502025,0.02351831,-0.22398792,-0.8702437,-0.43875423,0.310198,0.037541896,0.85750425,0.40872276
3086,35.985287,109.763504,149.44139,-1.0013963,10.39143,0.9954142,-0.93294394,-0.25167647,-0.02076942,-0.24179135,-0.91316587,-0.3281235,0.38791767,0.033597335,0.7972933,0.4612098
3192,35.49549,102.81755,149.76483,-2.1810577,9.485747,0.78544396,-1.7053831,0.36346483,0.0739147,-0.2451243,-0.93566227,-0.25387043,0.384947,0.010586086,0.7682432,0.5113767
3299,34.41747,96.79442,151.14915,-0.59641105,9.458827,-0.77527446,0.07452556,-0.6191119,0.046273045,-0.2549895,-0.9574918,-0.1348694,0.37225592,-0.012298858,0.7407071,0.5591308
3406,33.687504,95.70127,150.60771,-0.30329025,9.567103,-0.51924247,-0.020922136,-0.013591751,0.028405234,-0.25227097,-0.9596348,-0.12433998,0.3707421,-0.008070241,0.735707,0.56676304
3512,32.871273,94.90814,150.61772,-0.29072794,9.580861,-0.53359944,-0.02107485,-0.017867807,0.02687807,-0.24766727,-0.96426487,-0.09409641,0.3661136,-0.005855017,0.732049,0.5744831
3619,32.58737,94.65019,150.61934,-0.29850462,9.578468,-0.5515456,-0.022296581,-0.017256944,0.030848695,-0.23465459,-0.9669448,-0.09977455,0.36452085,-0.0050006416,0.73084164,0.57703555
3726,31.556643,93.74194,150.72328,-0.3194418,9.560522,-0.53659046,-0.025045475,-0.010231993,0.03145956,-0.2558037,-0.9598536,-0.11508932,0.3582659,-0.0023720218,0.72649866,0.58637834
3832,30.435997,92.75457,150.7482,-0.30209383,9.5665045,-0.5174479,-0.026267204,-0.02443461,0.03023783,-0.24587746,-0.9643754,-0.09759286,0.35195762,0.0011527333,0.72160673,0.59616125
3939,30.435997,92.75457,150.7482,-0.30209383,9.5665045,-0.5174479,-0.026267204,-0.02443461,0.03023783,-0.24587746,-0.9643754,-0.09759286,0.35195762,0.0011527333,0.72160673,0.59616125
4046,28.585997,91.24228,150.91368,-0.3475575,9.561121,-0.51625144,-0.024129178,-0.01740966,0.030695977,-0.24544042,-0.96189344,-0.12049909,0.34098876,0.006784278,0.71377355,0.6117254
4152,28.182766,90.92977,150.95311,-0.276371,9.592826,-0.5282156,-0.022449298,-0.01695151,0.03145956,-0.24861862,-0.96042866,-0.12556109,0.33859247,0.008079638,0.7120999,0.6149826
4259,26.545784,89.68997,151.14705,-0.24586251,9.5868435,-0.552742,-0.024281893,-0.017256944,0.025809057,-0.24102196,-0.96450835,-0.10785219,0.32872334,0.013346453,0.7052671,0.6279819
4366,26.12463,89.39643,151.19704,-0.24765714,9.57787,-0.50069815,-0.02275473,-0.017104227,0.027794369,-0.24470687,-0.9632092,-0.111115046,0.32619172,0.014807722,0.70359915,0.63113225
4472,24.426115,88.266846,151.41808,-0.3086741,9.580861,-0.4677968,-0.021533,-0.014660766,0.026267204,-0.23866215,-0.9639002,-0.118054286,0.31590554,0.020863127,0.69699067,0.6434069
4579,23.548378,87.70107,151.54973,-0.33379874,9.573085,-0.5186443,-0.02687807,-0.017867807,0.030543262,-0.25118434,-0.9599691,-0.123958565,0.31051195,0.024014514,0.6935683,0.64959115
4686,23.129936,87.460976,151.62225,-0.2871387,9.582656,-0.5240281,-0.018936822,-0.0154243475,0.031001411,-0.24558648,-0.9611346,-0.1261251,0.30788368,0.0255562,0.692082,0.6523627
4792,22.662792,87.20269,151.71399,-0.34576285,9.567103,-0.529412,-0.022449298,-0.012675454,0.031612277,-0.24697216,-0.96228313,-0.114087336,0.30488813,0.027251286,0.6904636,0.65540874
4899,22.186163,86.944275,151.78665,-0.30388847,9.555139,-0.5318048,-0.024740042,-0.018936822,0.030390546,-0.23847109,-0.96545196,-0.1050434,0.30195284,0.02913401,0.6888186,0.6584107
5006,22.186163,86.944275,151.78665,-0.30388847,9.555139,-0.5318048,-0.024740042,-0.018936822,0.030390546,-0.23847109,-0.96545196,-0.1050434,0.30195284,0.02913401,0.6888186,0.6584107
5112,22.186163,86.944275,151.78665,-0.30388847,9.555139,-0.5318048,-0.024740042,-0.018936822,0.030390546,-0.23847109,-0.96545196,-0.1050434,0.30195284,0.02913401,0.6888186,0.6584107
5219,17.424599,84.69569,152.72946,-0.29312077,9.546165,-0.54317075,-0.02321288,-0.019700404,0.028863383,-0.22190006,-0.96403885,-0.14625123,0.27137893,0.048175555,0.6734816,0.68589735
5326,15.939362,84.14532,153.05965,-0.30927232,9.563514,-0.5240281,-0.02275473,-0.02031127,0.0290161,-0.23966622,-0.96290374,-0.1240018,0.26158893,0.054491136,0.6693196,0.6932627
5432,14.407751,83.69733,153.43538,-0.29072794,9.598209,-0.5449653,-0.021533,-0.013439035,0.0290161,-0.2486209,-0.9601733,-0.12749451,0.25121623,0.061157648,0.66565436,0.70003885
5539,13.880268,83.551575,153.5818,-0.2781656,9.558728,-0.50428736,-0.0206167,-0.013591751,0.02977968,-0.25597286,-0.9573956,-0.13368452,0.24753177,0.063391455,0.6644297,0.7023124
5646,12.300923,83.193115,154.00452,-0.30448666,9.572487,-0.535394,-0.02855795,-0.019700404,0.028710665,-0.256508,-0.95900977,-0.12043226,0.23653576,0.07038549,0.66116923,0.70848566
5752,10.727426,83.01594,154.46057,-0.28175485,9.592228,-0.54795635,-0.018478675,-0.014049901,0.02855795,-0.2406673,-0.9627208,-0.12348255,0.22521655,0.07757185,0.6589753,0.7134505
5859,10.727426,83.01594,154.46057,-0.28175485,9.592228,-0.54795635,-0.018478675,-0.014049901,0.02855795,-0.2406673,-0.9627208,-0.12348255,0.22521655,0.07757185,0.6589753,0.7134505
5966,8.99826,82.98111,154.94717,-0.33619156,9.552148,-0.5282156,-0.026267204,-0.012675454,0.030543262,-0.2388223,-0.9633723,-0.12197423,0.2126956,0.08588497,0.6574781,0.7177095
6072,7.385782,82.99988,155.35904,-0.2865405,9.552746,-0.50668013,-0.029168814,-0.01863139,0.032223143,-0.23358086,-0.962697,-0.13658135,0.20117556,0.093967654,0.6563078,0.7210815
6179,7.385782,82.99988,155.35904,-0.2865405,9.552746,-0.50668013,-0.029168814,-0.01863139,0.032223143,-0.23358086,-0.962697,-0.13658135,0.20117556,0.093967654,0.6563078,0.7210815
