timestamp,magn_x,magn_y,magn_z
0,0.090720005,0.27076,-0.39522
1,0.090720005,0.27076,-0.39522
20,0.090720005,0.27076,-0.39522
20,0.090720005,0.27076,-0.39522
41,0.0847,0.26586002,-0.38934
42,0.0847,0.26586002,-0.38934
63,0.0847,0.26586002,-0.38934
63,0.0847,0.26586002,-0.38934
84,0.089880005,0.25214002,-0.3892
84,0.089880005,0.25214002,-0.3892
105,0.08568,0.24066001,-0.39130002
127,0.08568,0.24066001,-0.39130002
127,0.08568,0.24066001,-0.39130002
148,0.086660005,0.22092001,-0.38346002
148,0.086660005,0.22092001,-0.38346002
169,0.084,0.20328,-0.37996
169,0.084,0.20328,-0.37996
191,0.084,0.20328,-0.37996
191,0.084,0.20328,-0.37996
212,0.08428,0.1981,-0.38514
212,0.08428,0.1981,-0.38514
233,0.08428,0.1981,-0.38514
255,0.08078,0.18592,-0.38556
255,0.08078,0.18592,-0.38556
276,0.08078,0.18592,-0.38556
276,0.08078,0.18592,-0.38556
297,0.08484,0.16884,-0.3738
297,0.08484,0.16884,-0.3738
319,0.087500006,0.17024,-0.37100002
319,0.087500006,0.17024,-0.37100002
340,0.087500006,0.17024,-0.37100002
340,0.087500006,0.17024,-0.37100002
361,0.093380004,0.16324,-0.37534
383,0.093380004,0.16324,-0.37534
383,0.093380004,0.16324,-0.37534
404,0.093380004,0.16324,-0.37534
404,0.093380004,0.16324,-0.37534
425,0.08848,0.16002001,-0.37058002
425,0.08848,0.16002001,-0.37058002
447,0.08848,0.16002001,-0.37058002
447,0.08848,0.16002001,-0.37058002
468,0.08848,0.16002001,-0.37058002
468,0.08848,0.16002001,-0.37058002
489,0.07952,0.15848,-0.37730002
490,0.07952,0.15848,-0.37730002
511,0.08162,0.14966,-0.37072
532,0.086380005,0.1365,-0.36526
532,0.086380005,0.1365,-0.36526
553,0.086380005,0.1365,-0.36526
553,0.086380005,0.1365,-0.36526
575,0.08736,0.14042,-0.36148
575,0.08736,0.14042,-0.36148
596,0.08736,0.14042,-0.36148
596,0.08736,0.14042,-0.36148
617,0.084,0.14042,-0.3633
617,0.084,0.14042,-0.3633
639,0.07868,0.13664,-0.3626
660,0.07868,0.13664,-0.3626
660,0.07868,0.13664,-0.3626
681,0.0784,0.1372,-0.36428002
681,0.0784,0.1372,-0.36428002
703,0.0784,0.1372,-0.36428002
703,0.0784,0.1372,-0.36428002
724,0.075600006,0.14686,-0.3689
724,0.075600006,0.14686,-0.3689
745,0.0749,0.15470001,-0.36876002
745,0.0749,0.15470001,-0.36876002
767,0.0749,0.15470001,-0.36876002
788,0.07574,0.15358001,-0.36904
788,0.07574,0.15358001,-0.36904
809,0.07574,0.15358001,-0.36904
809,0.07574,0.15358001,-0.36904
831,0.073920004,0.1526,-0.37212002
831,0.073920004,0.1526,-0.37212002
852,0.073920004,0.1526,-0.37212002
852,0.073920004,0.1526,-0.37212002
873,0.077,0.13818,-0.36218002
873,0.077,0.13818,-0.36218002
895,0.07658,0.12838,-0.35952002
916,0.07658,0.12838,-0.35952002
916,0.07658,0.12838,-0.35952002
937,0.070140004,0.11942001,-0.35658002
937,0.070140004,0.11942001,-0.35658002
959,0.070140004,0.11942001,-0.35658002
959,0.070140004,0.11942001,-0.35658002
980,0.06384,0.097720005,-0.34328002
980,0.06384,0.097720005,-0.34328002
1001,0.06384,0.097720005,-0.34328002
1001,0.06384,0.097720005,-0.34328002
1023,0.05978,0.08106,-0.33698002
1044,0.06202,0.0623,-0.31598002
1044,0.06202,0.0623,-0.31598002
1065,0.06202,0.0623,-0.31598002
1065,0.06202,0.0623,-0.31598002
1087,0.07952,0.048720002,-0.3115
1087,0.07952,0.048720002,-0.3115
1108,0.07952,0.048720002,-0.3115
1108,0.07952,0.048720002,-0.3115
1129,0.10864,0.02142,-0.29442
1129,0.10864,0.02142,-0.29442
1151,0.10864,0.02142,-0.29442
1172,0.10864,0.02142,-0.29442
1172,0.10864,0.02142,-0.29442
1193,0.122360006,0.00532,-0.27664
1193,0.122360006,0.00532,-0.27664
1215,0.122360006,0.00532,-0.27664
1215,0.122360006,0.00532,-0.27664
1236,0.13972001,-0.0035,-0.27314
1236,0.13972001,-0.0035,-0.27314
1257,0.13972001,-0.0035,-0.27314
1258,0.13972001,-0.0035,-0.27314
1279,0.13972001,-0.0035,-0.27314
1279,0.13972001,-0.0035,-0.27314
1300,0.13972001,-0.0035,-0.27314
1321,0.2786,0.00084,-0.22974001
1322,0.2786,0.00084,-0.22974001
1343,0.2786,0.00084,-0.22974001
1343,0.2786,0.00084,-0.22974001
1364,0.2786,0.00084,-0.22974001
1364,0.2786,0.00084,-0.22974001
1385,0.2786,0.00084,-0.22974001
1385,0.2786,0.00084,-0.22974001
1407,0.31178,0.0102200005,-0.22288
1407,0.31178,0.0102200005,-0.22288
1428,0.31178,0.0102200005,-0.22288
1449,0.33054,0.02898,-0.21952
1450,0.33054,0.02898,-0.21952
1471,0.33054,0.02898,-0.21952
1471,0.33054,0.02898,-0.21952
1492,0.33054,0.02898,-0.21952
1492,0.33054,0.02898,-0.21952
1513,0.39662,0.048440002,-0.1561
1514,0.39662,0.048440002,-0.1561
1535,0.39662,0.048440002,-0.1561
1535,0.39662,0.048440002,-0.1561
1556,0.39662,0.048440002,-0.1561
1577,0.41636002,0.070980005,-0.14602001
1577,0.41636002,0.070980005,-0.14602001
1599,0.41636002,0.070980005,-0.14602001
1599,0.41636002,0.070980005,-0.14602001
1620,0.43190002,0.097160004,-0.12348
1620,0.43190002,0.097160004,-0.12348
1641,0.43190002,0.097160004,-0.12348
1641,0.43190002,0.097160004,-0.12348
1663,0.44296002,0.116620004,-0.12404
1663,0.44296002,0.116620004,-0.12404
1684,0.45626003,0.13734001,-0.1211
1705,0.45626003,0.13734001,-0.1211
1705,0.45626003,0.13734001,-0.1211
1727,0.46508002,0.16072,-0.113680005
1727,0.46508002,0.16072,-0.113680005
1748,0.46508002,0.16072,-0.113680005
1748,0.46508002,0.16072,-0.113680005
1769,0.47222,0.17696,-0.119
1769,0.47222,0.17696,-0.119
1791,0.47222,0.17696,-0.119
1791,0.47222,0.17696,-0.119
1813,0.46858,0.20482,-0.14014
1833,0.46592,0.23366001,-0.15064001
1834,0.46592,0.23366001,-0.15064001
1855,0.46592,0.23366001,-0.15064001
1855,0.46592,0.23366001,-0.15064001
1876,0.46186,0.26936,-0.16996
1876,0.46186,0.26936,-0.16996
1898,0.46186,0.26936,-0.16996
1898,0.46186,0.26936,-0.16996
1919,0.43904,0.30226,-0.20188001
1919,0.43904,0.30226,-0.20188001
1943,0.42546,0.32788,-0.231
1961,0.42546,0.32788,-0.231
1962,0.42546,0.32788,-0.231
1983,0.40068,0.32354,-0.26992002
1983,0.40068,0.32354,-0.26992002
2005,0.40068,0.32354,-0.26992002
2005,0.40068,0.32354,-0.26992002
2026,0.37156,0.31752002,-0.2919
2026,0.37156,0.31752002,-0.2919
2047,0.36582002,0.31304002,-0.29526
2047,0.36582002,0.31304002,-0.29526
2068,0.36582002,0.31304002,-0.29526
2089,0.34972,0.29862002,-0.32298002
2090,0.34972,0.29862002,-0.32298002
2111,0.34972,0.29862002,-0.32298002
2111,0.34972,0.29862002,-0.32298002
2132,0.32914,0.29932,-0.33418
2132,0.32914,0.29932,-0.33418
2153,0.31584,0.2947,-0.34398
2154,0.31584,0.2947,-0.34398
2175,0.31584,0.2947,-0.34398
2175,0.31584,0.2947,-0.34398
2196,0.30352,0.28350002,-0.35686
2196,0.30352,0.28350002,-0.35686
2218,0.30352,0.28350002,-0.35686
2239,0.2912,0.2744,-0.36008
2239,0.2912,0.2744,-0.36008
2260,0.27664,0.26614,-0.37156
2260,0.27664,0.26614,-0.37156
2281,0.27664,0.26614,-0.37156
2281,0.27664,0.26614,-0.37156
2303,0.27216,0.25928,-0.36834002
2303,0.27216,0.25928,-0.36834002
2324,0.27216,0.25928,-0.36834002
2324,0.27216,0.25928,-0.36834002
2346,0.27706,0.24276,-0.36470002
2367,0.27706,0.24276,-0.36470002
2367,0.27706,0.24276,-0.36470002
2389,0.2954,0.24514,-0.34846002
2389,0.2954,0.24514,-0.34846002
2409,0.32704002,0.24066001,-0.33348
2409,0.32704002,0.24066001,-0.33348
2431,0.32704002,0.24066001,-0.33348
2431,0.32704002,0.24066001,-0.33348
2452,0.35336,0.22386001,-0.31094
2452,0.35336,0.22386001,-0.31094
2474,0.37548,0.21588,-0.28448
2495,0.37548,0.21588,-0.28448
2495,0.37548,0.21588,-0.28448
2516,0.40488002,0.20678,-0.245
2516,0.40488002,0.20678,-0.245
2537,0.40488002,0.20678,-0.245
2537,0.40488002,0.20678,-0.245
2559,0.43708003,0.22274001,-0.19880001
2559,0.43708003,0.22274001,-0.19880001
2580,0.45920002,0.24682,-0.16282001
2580,0.45920002,0.24682,-0.16282001
2601,0.45920002,0.24682,-0.16282001
2623,0.47376,0.26264,-0.1092
2623,0.47376,0.26264,-0.1092
2644,0.47376,0.26264,-0.1092
2644,0.47376,0.26264,-0.1092
2667,0.47768003,0.2723,-0.044660002
2668,0.47768003,0.2723,-0.044660002
2687,0.47558,0.28364,-0.018900001
2687,0.47558,0.28364,-0.018900001
2708,0.47558,0.28364,-0.018900001
2708,0.47558,0.28364,-0.018900001
2729,0.47502002,0.28826,-0.00994
2751,0.47502002,0.28826,-0.00994
2751,0.47502002,0.28826,-0.00994
2772,0.47054002,0.29316002,0.026740002
2772,0.47054002,0.29316002,0.026740002
2794,0.47054002,0.29316002,0.026740002
2795,0.47054002,0.29316002,0.026740002
2815,0.4571,0.31724,0.056420002
2815,0.4571,0.31724,0.056420002
2836,0.43792,0.34986,0.06874
2836,0.43792,0.34986,0.06874
2858,0.43792,0.34986,0.06874
2879,0.41832,0.38038,0.091560006
2879,0.41832,0.38038,0.091560006
2900,0.41832,0.38038,0.091560006
2900,0.41832,0.38038,0.091560006
2921,0.41258,0.39326,0.08834
2921,0.41258,0.39326,0.08834
2943,0.41034,0.40012002,0.09114
